"“Success in business requires training and discipline and hard work. But if you’re not frightened by these things, the opportunities are just as great today as they ever were.”",– David Rockefeller
"“Those who believe in telekinetics, raise my hand.”",– Kurt Vonnegut
“Life isn’t about finding yourself. Life is about creating yourself.”,– George Bernard Shaw
“Always forgive your enemies; nothing annoys them so much.”,– Oscar Wilde
"“I’m selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can’t handle me at my worst, then you sure as hell don’t deserve me at my best.”",– Marilyn Monroe
"“The three great essentials to achieve anything worthwhile are, first, hard work; second, stick-to-itiveness; third, common sense.”",– Thomas A. Edison
"“Spread love everywhere you go: first of all in your own house. Give love to your children, to your wife or husband, to a next door neighbor. Let no one ever come to you without leaving better and happier. Be the living expression of God’s kindness; kindness in your face, kindness in your eyes, kindness in your smile, kindness in your warm greeting.”",– Mother Theresa
“In order to write about life first you must live it.”,– Ernest Hemingway
"“You will face many defeats in life, but never let yourself be defeated.”",– Maya Angelou
“To love and be loved is to feel the sun from both sides.”,– David Viscott
“What you do speaks so loudly that I cannot hear what you say.”,– Ralph Waldo Emerson
“Life is trying things to see if they work.”,– Ray Bradbury
“Many of life’s failures are people who did not realize how close they were to success when they gave up.”,– Thomas A. Edison
“A successful man is one who can lay a firm foundation with the bricks others have thrown at him.”,– David Brinkley
"“It is impossible to escape the impression that people commonly use false standards of measurement — that they seek power, success and wealth for themselves and admire them in others, and that they underestimate what is of true value in life.”",– Sigmund Freud
“You know you’re in love when you can’t fall asleep because reality is finally better than your dreams.”,– Dr. Suess
"“If you want to live a happy life, tie it to a goal, not to people or things.”",– Albert Einstein
“The journey of a thousand miles begins with one step.”,– Lao Tzu
“The opposite of love is not hate; it’s indifference.”,– Elie Wiesel
"“I can’t give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.”",  Herbert Bayard Swope
"“The whole secret of a successful life is to find out what is one’s destiny to do, and then do it.”",– Henry Ford
“Get busy living or get busy dying.”,– Stephen King
“The question isn’t who is going to let me; it’s who is going to stop me.”,– Ayn Rand
"“The big lesson in life, baby, is never be scared of anyone or anything.”",– Frank Sinatra
“Love yourself first and everything else falls into line. You really have to love yourself to get anything done in this world.”,– Lucille Ball
"“If you don’t design your own life plan, chances are you’ll fall into someone else’s plan. And guess what they have planned for you? Not much.”",– Jim Rohn
"“The good news is that the moment you decide that what you know is more important than what you have been taught to believe, you will have shifted gears in your quest for abundance. Success comes from within, not from without.”",– Elie Wiesel
“The person who reads too much and uses his brain too little will fall into lazy habits of thinking.”,– Albert Einstein
“Never let the fear of striking out keep you from playing the game.”,– Babe Ruth
"“Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.”",– Harriet Tubman
"“A man is a success if he gets up in the morning and gets to bed at night, and in between he does what he wants to do.”",– Bob Dylan
“Love is a serious mental disease.”,– Plato
"“Remember that the happiest people are not those getting more, but those giving more.”","– H. Jackson Brown, Jr."
"“It is our choices, that show what we truly are, far more than our abilities.”",– J. K Rowling
“Our greatest fear should not be of failure… but of succeeding at things in life that don’t really matter.”,– Francis Chan
“Great minds discuss ideas; average minds discuss events; small minds discuss people.”,– Eleanor Roosevelt
“I only regret that I have but one life to give for my country.”,– Nathan Hale
“May you live all the days of your life.”,– Jonathan Swift
"“It is hard to fail, but it is worse never to have tried to succeed.”",– Theodore Roosevelt
